scope,method,path,operation_id,summary,tags,contract_owner,implementation_owner,display_owner,qa_owner
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions,create_knowledge_version,创建候选版本,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id},get_knowledge_version,知识版本详情,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/structured-imports,create_structured_knowledge_import,结构化知识导入,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/structured-imports/{import_id},get_structured_knowledge_import,导入状态,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/review-queue,list_knowledge_review_queue,知识审核队列,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/review-items/{review_item_id}/decision,decide_knowledge_review_item,审核知识条目,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/validate,validate_knowledge_version,验证知识版本,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/reindex,reindex_knowledge_version,重建索引,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/publish,publish_knowledge_version,发布知识版本,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/activate,activate_knowledge_version,激活知识版本,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/rollback,rollback_knowledge_version,回滚知识版本,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/quality-report,get_knowledge_quality_report,知识质量报告,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/knowledge-graph,get_knowledge_graph,知识图谱,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions/{knowledge_base_version_id}/retrieval-tests,run_knowledge_retrieval_tests,运行检索测试,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/workflow-runs,list_workflow_runs,工作流列表,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/workflow-runs/{workflow_run_id},get_workflow_run,工作流详情,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/workflow-runs/{workflow_run_id}/events,list_workflow_events,工作流事件,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/workflow-runs/{workflow_run_id}/trace,get_workflow_trace,工作流 Trace,Observability,P2,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/workflow-runs/{workflow_run_id}/cancel,cancel_workflow_run,取消工作流,Observability,P2,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/workflow-runs/{workflow_run_id}/retry,retry_workflow_run,重试工作流,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/retrieval-runs,list_retrieval_runs,检索运行列表,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/retrieval-runs/{retrieval_run_id},get_retrieval_run,检索运行详情,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/retrieval-runs/{retrieval_run_id}/trace,get_retrieval_trace,检索 Trace,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/metrics/quality,get_quality_metrics,质量指标,Metrics,P9,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/metrics/agents,get_agent_metrics,Agent指标,Metrics,P9,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/metrics/retrieval,get_retrieval_metrics,检索指标,Metrics,P9,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/metrics/learning,get_learning_metrics,学习指标,Metrics,P9,P5,P4,P9
internal,POST,/internal/v1/workflow-runs,internal_create_workflow_run,创建工作流,Internal,,,,
internal,GET,/internal/v1/workflow-runs/{workflow_run_id},internal_get_workflow_run,读取工作流,Internal,,,,
internal,POST,/internal/v1/workflow-runs/{workflow_run_id}/events,internal_append_workflow_event,追加事件,Internal,,,,
internal,POST,/internal/v1/agents/{agent_name}:run,internal_run_agent,运行 Agent,Internal,,,,
internal,POST,/internal/v1/retrieval/plans,internal_create_retrieval_plan,生成检索计划,Internal,,,,
internal,POST,/internal/v1/retrieval/runs,internal_create_retrieval_run,执行检索计划,Internal,,,,
internal,GET,/internal/v1/retrieval/runs/{retrieval_run_id},internal_get_retrieval_run,读取检索运行,Internal,,,,
internal,POST,/internal/v1/retrieval/runs/{retrieval_run_id}/events,internal_append_retrieval_event,追加检索事件,Internal,,,,
internal,POST,/internal/v1/evidence:fuse,internal_fuse_evidence,融合证据,Internal,,,,
internal,GET,/internal/v1/learners/{learner_id}/context,internal_get_learner_context,读取学员只读上下文,Internal,,,,
internal,GET,/internal/v1/knowledge/nodes/{knowledge_node_id},internal_get_knowledge_node_context,读取知识节点上下文,Internal,,,,
internal,GET,/internal/v1/rubrics/{rubric_id},internal_get_rubric,读取 Rubric,Internal,,,,
internal,POST,/internal/v1/objective-scoring,internal_score_objective_items,客观题评分,Internal,,,,
internal,POST,/internal/v1/code-tests,internal_run_code_tests,运行代码测试,Internal,,,,
internal,POST,/internal/v1/artifacts,internal_store_artifact,保存 Agent Artifact,Internal,,,,
knowledge_domain,GET,/health,kb_health,健康检查,Knowledge,,,,
knowledge_domain,GET,/api/v1/domain,kb_get_domain,领域信息,Knowledge,,,,
knowledge_domain,GET,/api/v1/knowledge/nodes,kb_list_nodes,知识节点,Knowledge,,,,
knowledge_domain,GET,/api/v1/knowledge/nodes/{knowledge_node_id},kb_get_node,知识节点详情,Knowledge,,,,
knowledge_domain,POST,/api/v1/retrieval/plans,kb_create_retrieval_plan,生成检索计划,Retrieval,,,,
knowledge_domain,POST,/api/v1/retrieval/search,kb_search_compatible,兼容检索,Retrieval,,,,
knowledge_domain,POST,/api/v1/retrieval/search:adaptive,kb_search_adaptive,自适应检索,Retrieval,,,,
knowledge_domain,GET,/api/v1/evidence/{evidence_id},kb_get_evidence,证据详情,Knowledge,,,,
knowledge_domain,GET,/api/v1/questions,kb_list_questions,题库,Knowledge,,,,
knowledge_domain,GET,/api/v1/tasks,kb_list_tasks,任务库,Knowledge,,,,
knowledge_domain,POST,/api/v1/evaluations/retrieval,kb_run_retrieval_eval,检索评测,Knowledge,,,,
knowledge_service,GET,/health,kb_health,健康检查,Knowledge,,,,
knowledge_service,GET,/api/v1/domain,kb_get_domain,领域信息,Knowledge,,,,
knowledge_service,GET,/api/v1/knowledge/nodes,kb_list_nodes,知识节点,Knowledge,,,,
knowledge_service,GET,/api/v1/knowledge/nodes/{knowledge_node_id},kb_get_node,知识节点详情,Knowledge,,,,
knowledge_service,POST,/api/v1/retrieval/plans,kb_create_retrieval_plan,生成检索计划,Retrieval,,,,
knowledge_service,POST,/api/v1/retrieval/search,kb_search_compatible,兼容检索,Retrieval,,,,
knowledge_service,POST,/api/v1/retrieval/search:adaptive,kb_search_adaptive,自适应检索,Retrieval,,,,
knowledge_service,GET,/api/v1/evidence/{evidence_id},kb_get_evidence,证据详情,Knowledge,,,,
knowledge_service,GET,/api/v1/questions,kb_list_questions,题库,Knowledge,,,,
knowledge_service,GET,/api/v1/tasks,kb_list_tasks,任务库,Knowledge,,,,
knowledge_service,POST,/api/v1/evaluations/retrieval,kb_run_retrieval_eval,检索评测,Knowledge,,,,
knowledge_service,GET,/api/v1/content-layers,kb_get_content_layers,知识内容层与审核状态统计,Knowledge,,,,
knowledge_service,GET,/api/v1/review-queue,kb_get_review_queue,待团队复核知识队列,Knowledge Governance,,,,
